Username,Tanggal,Teks,Jumlah_Like,Platform,Clean_Teks,Tokens,Label,Tanggal_Singkat,Topic_ID
@AkunBaru-iu8te,2026-06-12 15:37:40+00:00,Terlalu mewah Lutfi,3,YouTube,terlalu mewah lutfi,"['terlalu', 'mewah', 'lutfi']",1,2026-06-12,0
@abujahil-y1k,2026-06-12 15:36:27+00:00,caster highlight onic mlu,0,YouTube,caster highlight onic mlu,"['caster', 'highlight', 'onic', 'mlu']",0,2026-06-12,0
@Gemoy-k8t,2026-06-12 15:32:21+00:00,Geek begoo,0,YouTube,geek begoo,"['geek', 'begoo']",0,2026-06-12,0
@miichaaeellll,2026-06-12 15:30:45+00:00,6:12:39 bisa' nya tu caster diem aja sanz ulti angin 😂😂,7,YouTube,bisa nya tu caster diem aja sanz ulti angin,"['bisa', 'nya', 'tu', 'caster', 'diem', 'aja', 'sanz', 'ulti', 'angin']",0,2026-06-12,0
@ranata48,2026-06-12 15:26:54+00:00,YANG MAIN TIM APA YG HEBOH SIAPA😂 apelaj Livechat isinya rrq mulu,1,YouTube,yang main tim apa yang heboh siapa apelaj livechat isinya rrq mulu,"['yang', 'main', 'tim', 'apa', 'yang', 'heboh', 'siapa', 'apelaj', 'livechat', 'isinya', 'rrq', 'mulu']",1,2026-06-12,0
@kahfisinai,2026-06-12 15:22:21+00:00,"Gila sumpah onic game dua kairi menit 7 udah lv 12,semngat onicc❤",2,YouTube,gila sumpah onic game dua kairi menit sudah lv semngat onicc,"['gila', 'sumpah', 'onic', 'game', 'dua', 'kairi', 'menit', 'sudah', 'lv', 'semngat', 'onicc']",1,2026-06-12,0
@PapaPipiSufi,2026-06-12 15:21:05+00:00,buruk kali stage nya,0,YouTube,buruk kali stage nya,"['buruk', 'kali', 'stage', 'nya']",1,2026-06-12,0
@PapaPipiSufi,2026-06-12 15:20:52+00:00,CAMERA MAN INDONESIA LEMAH WKWK STAGE MACAM DALAM RUMAH😂 LAGU PON MCM K POP WKWKKEKE INDOG,0,YouTube,camera man indonesia lemah wkwk stage macam dalam rumah lagu pon mcm k pop wkwkkeke indog,"['camera', 'man', 'indonesia', 'lemah', 'wkwk', 'stage', 'macam', 'dalam', 'rumah', 'lagu', 'pon', 'mcm', 'k', 'pop', 'wkwkkeke', 'indog']",0,2026-06-12,0
@mhmmdfrizalghifari,2026-06-12 15:19:51+00:00,"jujur gua sebagai POV penonton mpl netral. ngeliat onic lagi lagi lagi, udah nggak bisa dapet vibes playyof mpl 😅 (kalo match onic)  saking liga taninya ini wkwkwk",1,YouTube,jujur gua sebagai pov penonton mpl netral ngeliat onic lagi lagi lagi sudah nggak bisa dapet vibes playyof mpl kalau match onic saking liga taninya ini wkwkwk,"['jujur', 'gua', 'sebagai', 'pov', 'penonton', 'mpl', 'netral', 'ngeliat', 'onic', 'lagi', 'lagi', 'lagi', 'sudah', 'nggak', 'bisa', 'dapet', 'vibes', 'playyof', 'mpl', 'kalau', 'match', 'onic', 'saking', 'liga', 'taninya', 'ini', 'wkwkwk']",1,2026-06-12,0
@dikisaputra8423,2026-06-12 15:19:27+00:00,Liga tani,1,YouTube,liga tani,"['liga', 'tani']",0,2026-06-12,0
@RebeccaCoxe-i8h4s,2026-06-12 15:18:59+00:00,"Final berarti RR9 vs ONIC ya? Kin9dom siap2 nonton, 9ua ikut nanti buat ngeliat Kin9 RR9",1,YouTube,final berarti rr vs onic ya kin dom siap nonton ua ikut nanti buat ngeliat kin rr,"['final', 'berarti', 'rr', 'vs', 'onic', 'ya', 'kin', 'dom', 'siap', 'nonton', 'ua', 'ikut', 'nanti', 'buat', 'ngeliat', 'kin', 'rr']",0,2026-06-12,0
@RivalValzz1,2026-06-12 15:17:46+00:00,Timnas mana😂😂😂,0,YouTube,timnas mana,"['timnas', 'mana']",0,2026-06-12,0
@Dargoone,2026-06-12 15:17:30+00:00,Bude lucu bgt wkwkwkwk di 06:39:45 ngajak savero aktif,18,YouTube,bude lucu banget wkwkwkwk di ngajak savero aktif,"['bude', 'lucu', 'banget', 'wkwkwkwk', 'di', 'ngajak', 'savero', 'aktif']",0,2026-06-12,0
@etidiana9383,2026-06-12 15:13:39+00:00,👍💖💖💖💖,0,YouTube,,[],0,2026-06-12,1
@yourbetadine,2026-06-12 15:11:50+00:00,MPL sehat ga si? lagi war malah munculin hand cam/face cam. hal2 ga penting malah dimunculin di momen krusial. BINTANG 1 lah,0,YouTube,mpl sehat tidak si lagi war malah munculin hand cam face cam hal tidak penting malah dimunculin di momen krusial bintang lah,"['mpl', 'sehat', 'tidak', 'si', 'lagi', 'war', 'malah', 'munculin', 'hand', 'cam', 'face', 'cam', 'hal', 'tidak', 'penting', 'malah', 'dimunculin', 'di', 'momen', 'krusial', 'bintang', 'lah']",1,2026-06-12,-1
@topgloballing-p6g,2026-06-12 15:09:02+00:00,aslinya ieu teh,0,YouTube,aslinya ieu teh,"['aslinya', 'ieu', 'teh']",0,2026-06-12,0
@Entropyy7,2026-06-12 15:01:58+00:00,Lutpi di game 3 nyambi jadi kang bersih2 minion njir😂,56,YouTube,lutpi di game nyambi jadi kang bersih minion njir,"['lutpi', 'di', 'game', 'nyambi', 'jadi', 'kang', 'bersih', 'minion', 'njir']",1,2026-06-12,0
@serolazreen9011,2026-06-12 14:57:24+00:00,LIGA TANI,1,YouTube,liga tani,"['liga', 'tani']",0,2026-06-12,0
@ケケ-v9z,2026-06-12 14:52:14+00:00,Tadi Harusnya Ngak Usah Main udah kasih Onic aja 3-1,1,YouTube,tadi harusnya ngak usah main sudah kasih onic aja,"['tadi', 'harusnya', 'ngak', 'usah', 'main', 'sudah', 'kasih', 'onic', 'aja']",1,2026-06-12,0
@AahRobiah-j6r,2026-06-12 14:46:44+00:00,Baloy ngga tosan sm kiboy😂,7,YouTube,baloy ngga tosan sama kiboy,"['baloy', 'ngga', 'tosan', 'sama', 'kiboy']",0,2026-06-12,0
@zaranye,2026-06-12 14:45:32+00:00,Ke Prancis kita,3,YouTube,ke prancis kita,"['ke', 'prancis', 'kita']",0,2026-06-12,0
@lanjiilucius,2026-06-12 14:45:25+00:00,org sibuk war lutpi sibuk bersih bersih minion😹😹,5,YouTube,org sibuk war lutpi sibuk bersih bersih minion,"['org', 'sibuk', 'war', 'lutpi', 'sibuk', 'bersih', 'bersih', 'minion']",1,2026-06-12,0
@erinazhafira9204,2026-06-12 14:44:17+00:00,Jago lokal giliran MSC ngebagong,2,YouTube,jago lokal giliran msc ngebagong,"['jago', 'lokal', 'giliran', 'msc', 'ngebagong']",0,2026-06-12,0
@AhqafChannel,2026-06-12 14:44:09+00:00,"andai onic PH lolos ewc, pasti bakal rame lagi vlog mereka di GH Onic 😭",24,YouTube,andai onic ph lolos ewc pasti bakal rame lagi vlog mereka di gh onic,"['andai', 'onic', 'ph', 'lolos', 'ewc', 'pasti', 'bakal', 'rame', 'lagi', 'vlog', 'mereka', 'di', 'gh', 'onic']",1,2026-06-12,0
@Zyy_Mole,2026-06-12 14:37:25+00:00,Leher belakang kelra dicium Ama Sanz jir😹,0,YouTube,leher belakang kelra dicium ama sanz jir,"['leher', 'belakang', 'kelra', 'dicium', 'ama', 'sanz', 'jir']",1,2026-06-12,0
@DolorSilentium-v5p,2026-06-12 14:37:00+00:00,"Gua mau pendapat sbr pihak netral utk yg ngmng mpl id liga tani segala macem aplah itu ya ga ush ngeluh jir😂😂😂. Kalo misal mplny liga tani didominasi onic dri s9 ya salahin tim yg laen jg lah gapernah bs improve buat ngalahin onic😂. Gitu2 aj mulu maenny kan klo tim laen yg lawan onic, kalah trio mid, kalah early, susah bikin gerakan, ujung2ny kalah smpe late game. 

Ditambah diorng tu pemainny punya pengalaman lumayan lama jg, sanz dri s4, coach mantan jurdun, pengalaman defend lord berkali2, disiplin juga maennya. Dan juga gua yakin, tim lain itu tu kalo ketemu onic pun di match, pasti mereka kalah mental, kalah psikis juga kek ""waduh lawan onic lagi, susah nih lawannya"" dan lu diharusin untuk menang supaya bisa masuk ke babak selanjutny gitu.

Jadi klo lu mau ngmng ya ni mpl ga asik liga tani sgalam macem, ydh lu gsh nonton aj skalian, mentang2 tim kesayangan lo kalah gabisa ngalahin onic mlh nyalahin onicny 😂😂😂. Diorng jg mo menang lah, dan tim2 laen jg mo menang dan naekin standarny kek onic loh. Klo misal juga mindset lorng masih kek gitu, lorng aj ngetrial coba di tim2 besar itu, lorng cb sendiri rasanya ngelawan onic, gsh lah onic, tim laen dlu aj kek rrq evos navi dewa dll. Pasti gemeter jg ujung2nya 😂😂😂.",5,YouTube,gua mau pendapat sbr pihak netral utk yang ngmng mpl id liga tani segala macem aplah itu ya tidak ush ngeluh jir kalau misal mplny liga tani didominasi onic dri s ya salahin tim yang laen jg lah gapernah bs improve buat ngalahin onic gitu aj mulu maenny kan kalau tim laen yang lawan onic kalah trio mid kalah early susah bikin gerakan ujung ny kalah smpe late game ditambah diorng tu pemainny punya pengalaman lumayan lama jg sanz dri s coach mantan jurdun pengalaman defend lord berkali disiplin juga maennya dan juga gua yakin tim lain itu tu kalau ketemu onic pun di match pasti mereka kalah mental kalah psikis juga kek waduh lawan onic lagi susah nih lawannya dan kamu diharusin untuk menang supaya bisa masuk ke babak selanjutny gitu jadi kalau kamu mau ngmng ya ni mpl tidak asik liga tani sgalam macem ydh kamu gsh nonton aj skalian mentang tim kesayangan kamu kalah gabisa ngalahin onic mlh nyalahin onicny diorng jg mo menang lah dan tim laen jg mo menang dan naekin standarny kek onic loh kalau misal juga mindset lorng masih kek gitu lorng aj ngetrial coba di tim besar itu lorng cb sendiri rasanya ngelawan onic gsh lah onic tim laen dlu aj kek rrq evos navi dewa dll pasti gemeter jg ujung nya,"['gua', 'mau', 'pendapat', 'sbr', 'pihak', 'netral', 'utk', 'yang', 'ngmng', 'mpl', 'id', 'liga', 'tani', 'segala', 'macem', 'aplah', 'itu', 'ya', 'tidak', 'ush', 'ngeluh', 'jir', 'kalau', 'misal', 'mplny', 'liga', 'tani', 'didominasi', 'onic', 'dri', 's', 'ya', 'salahin', 'tim', 'yang', 'laen', 'jg', 'lah', 'gapernah', 'bs', 'improve', 'buat', 'ngalahin', 'onic', 'gitu', 'aj', 'mulu', 'maenny', 'kan', 'kalau', 'tim', 'laen', 'yang', 'lawan', 'onic', 'kalah', 'trio', 'mid', 'kalah', 'early', 'susah', 'bikin', 'gerakan', 'ujung', 'ny', 'kalah', 'smpe', 'late', 'game', 'ditambah', 'diorng', 'tu', 'pemainny', 'punya', 'pengalaman', 'lumayan', 'lama', 'jg', 'sanz', 'dri', 's', 'coach', 'mantan', 'jurdun', 'pengalaman', 'defend', 'lord', 'berkali', 'disiplin', 'juga', 'maennya', 'dan', 'juga', 'gua', 'yakin', 'tim', 'lain', 'itu', 'tu', 'kalau', 'ketemu', 'onic', 'pun', 'di', 'match', 'pasti', 'mereka', 'kalah', 'mental', 'kalah', 'psikis', 'juga', 'kek', 'waduh', 'lawan', 'onic', 'lagi', 'susah', 'nih', 'lawannya', 'dan', 'kamu', 'diharusin', 'untuk', 'menang', 'supaya', 'bisa', 'masuk', 'ke', 'babak', 'selanjutny', 'gitu', 'jadi', 'kalau', 'kamu', 'mau', 'ngmng', 'ya', 'ni', 'mpl', 'tidak', 'asik', 'liga', 'tani', 'sgalam', 'macem', 'ydh', 'kamu', 'gsh', 'nonton', 'aj', 'skalian', 'mentang', 'tim', 'kesayangan', 'kamu', 'kalah', 'gabisa', 'ngalahin', 'onic', 'mlh', 'nyalahin', 'onicny', 'diorng', 'jg', 'mo', 'menang', 'lah', 'dan', 'tim', 'laen', 'jg', 'mo', 'menang', 'dan', 'naekin', 'standarny', 'kek', 'onic', 'loh', 'kalau', 'misal', 'juga', 'mindset', 'lorng', 'masih', 'kek', 'gitu', 'lorng', 'aj', 'ngetrial', 'coba', 'di', 'tim', 'besar', 'itu', 'lorng', 'cb', 'sendiri', 'rasanya', 'ngelawan', 'onic', 'gsh', 'lah', 'onic', 'tim', 'laen', 'dlu', 'aj', 'kek', 'rrq', 'evos', 'navi', 'dewa', 'dll', 'pasti', 'gemeter', 'jg', 'ujung', 'nya']",1,2026-06-12,0
@h4t4ke42,2026-06-12 14:36:53+00:00,Go go go Onic MSC menangin lagi 🔥🔥🔥,19,YouTube,go go go onic msc menangin lagi,"['go', 'go', 'go', 'onic', 'msc', 'menangin', 'lagi']",1,2026-06-12,0
@FatkurRozi-j6k,2026-06-12 14:34:56+00:00,"Wkwkwkwk klo aku jadi exp punya jangler indomaret langsung aku pukul woy,, wkwkwkw udah di tbin masi indomaret😂😂😂😂",0,YouTube,wkwkwkwk kalau aku jadi exp punya jangler indomaret langsung aku pukul woy wkwkwkw sudah di tbin masi indomaret,"['wkwkwkwk', 'kalau', 'aku', 'jadi', 'exp', 'punya', 'jangler', 'indomaret', 'langsung', 'aku', 'pukul', 'woy', 'wkwkwkw', 'sudah', 'di', 'tbin', 'masi', 'indomaret']",1,2026-06-12,0
@cobainAbis,2026-06-12 14:33:02+00:00,"Ae mana ya,",0,YouTube,ae mana ya,"['ae', 'mana', 'ya']",0,2026-06-12,0
@Defringantengbetjir1,2026-06-12 14:28:55+00:00,sanz harus cumbak rambut merah,32,YouTube,sanz harus cumbak rambut merah,"['sanz', 'harus', 'cumbak', 'rambut', 'merah']",1,2026-06-12,0
@Lebronpacesunda,2026-06-12 14:28:42+00:00,Lutfi 4 menit clear minion trilane😂😂😂,28,YouTube,lutfi menit clear minion trilane,"['lutfi', 'menit', 'clear', 'minion', 'trilane']",0,2026-06-12,0
@AbiyyuNaufal-h7j,2026-06-12 14:27:12+00:00,Njir gw tebak 3-0 ternyata bener cok,2,YouTube,njir saya tebak ternyata bener cok,"['njir', 'saya', 'tebak', 'ternyata', 'bener', 'cok']",1,2026-06-12,0
@BananaT-0,2026-06-12 14:22:08+00:00,"Kenapa jaket gak dikasih pas team ladies aja sih😑, justru mereka yg full indo. Lebih baik lagi kalo timnas indo nya yg di panggil ke panggung untuk pemberian jaket. Kalo gini keliatan awkward banget ada kelra, kairi n coach yeb yg jelas ph😵‍💫",1,YouTube,kenapa jaket tidak dikasih pas team ladies aja sih justru mereka yang full indo lebih baik lagi kalau timnas indo nya yang di panggil ke panggung untuk pemberian jaket kalau gini keliatan awkward banget ada kelra kairi n coach yeb yang jelas ph,"['kenapa', 'jaket', 'tidak', 'dikasih', 'pas', 'team', 'ladies', 'aja', 'sih', 'justru', 'mereka', 'yang', 'full', 'indo', 'lebih', 'baik', 'lagi', 'kalau', 'timnas', 'indo', 'nya', 'yang', 'di', 'panggil', 'ke', 'panggung', 'untuk', 'pemberian', 'jaket', 'kalau', 'gini', 'keliatan', 'awkward', 'banget', 'ada', 'kelra', 'kairi', 'n', 'coach', 'yeb', 'yang', 'jelas', 'ph']",1,2026-06-12,5
@kyleeTzzzyy,2026-06-12 14:21:31+00:00,"Makanya tim tim lain improv dong, jangan nurunin standar onic",2,YouTube,makanya tim tim lain improv dong jangan nurunin standar onic,"['makanya', 'tim', 'tim', 'lain', 'improv', 'dong', 'jangan', 'nurunin', 'standar', 'onic']",1,2026-06-12,0
@CyanWolfer,2026-06-12 14:18:46+00:00,"[ TLID ] —VS— [ BTR ]

• Game 1 - Draft 52:00 - Start 58:14
• Game 2 - Draft 1:30:34 - Start 1:37:17
• Game 3 - Draft 2:27:56 - Start 2:35:16

[ Before Match ]
• Player Intro 42:35

[ After Match ]
• Interview 2:49:26
• Player Of The Match 2:59:44
────────────────────
[ GEEK ] —VS— [ ONIC ]

• Game 1 - Draft 6:02:47 - Start 6:10:24
• Game 2 - Draft 6:43:30 - Start 6:53:05
• Game 3 - Draft 7:26:39 - Start 7:33:30

[ Before Match ]
• Player Intro 5:51:02

[ After Match ]
• Interview 8:09:05
• Player Of The Match 8:27:22
────────────────────
Playoff Bracket 8:36:41
Tomorrow's Schedule 8:37:17
────────────────────
— CyanWolfer —",164,YouTube,tlid —vs— btr • game draft start • game draft start • game draft start before match • player intro after match • interview • player of the match ──────────────────── geek —vs— onic • game draft start • game draft start • game draft start before match • player intro after match • interview • player of the match ──────────────────── playoff bracket tomorrow s schedule ──────────────────── — cyanwolfer —,"['tlid', '—vs—', 'btr', '•', 'game', 'draft', 'start', '•', 'game', 'draft', 'start', '•', 'game', 'draft', 'start', 'before', 'match', '•', 'player', 'intro', 'after', 'match', '•', 'interview', '•', 'player', 'of', 'the', 'match', '────────────────────', 'geek', '—vs—', 'onic', '•', 'game', 'draft', 'start', '•', 'game', 'draft', 'start', '•', 'game', 'draft', 'start', 'before', 'match', '•', 'player', 'intro', 'after', 'match', '•', 'interview', '•', 'player', 'of', 'the', 'match', '────────────────────', 'playoff', 'bracket', 'tomorrow', 's', 'schedule', '────────────────────', '—', 'cyanwolfer', '—']",0,2026-06-12,-1
@Reinzkyyyy,2026-06-12 14:18:39+00:00,"LIGA TANI MPL ID, MY, PH DAN MSERIES",3,YouTube,liga tani mpl id my ph dan mseries,"['liga', 'tani', 'mpl', 'id', 'my', 'ph', 'dan', 'mseries']",0,2026-06-12,0
@NatureBrilliant,2026-06-12 14:17:58+00:00,"Dulu waktu RRQ mendominasi, menang mulu, gw berharap tim lain menang (onic),
sekarang sama aja, onic menang mulu, gw berharap tim lain menang, pengennya sih tim indo sama2 kuat. biar kompe.
makanya klu liat ada orang yang ngefans bgt sama satu tim, bagi gw itu aneh wkwkkw",1,YouTube,dulu waktu rrq mendominasi menang mulu saya berharap tim lain menang onic sekarang sama aja onic menang mulu saya berharap tim lain menang pengennya sih tim indo sama kuat biar kompe makanya klu liat ada orang yang ngefans banget sama satu tim bagi saya itu aneh wkwkkw,"['dulu', 'waktu', 'rrq', 'mendominasi', 'menang', 'mulu', 'saya', 'berharap', 'tim', 'lain', 'menang', 'onic', 'sekarang', 'sama', 'aja', 'onic', 'menang', 'mulu', 'saya', 'berharap', 'tim', 'lain', 'menang', 'pengennya', 'sih', 'tim', 'indo', 'sama', 'kuat', 'biar', 'kompe', 'makanya', 'klu', 'liat', 'ada', 'orang', 'yang', 'ngefans', 'banget', 'sama', 'satu', 'tim', 'bagi', 'saya', 'itu', 'aneh', 'wkwkkw']",1,2026-06-12,0
@AlexzanderZulkarnain,2026-06-12 14:16:55+00:00,"Warga konoha bilang malaysia liga tani,jika dimalaysia liga tani di konoha liga apa??????",1,YouTube,warga konoha bilang malaysia liga tani jika dimalaysia liga tani di konoha liga apa,"['warga', 'konoha', 'bilang', 'malaysia', 'liga', 'tani', 'jika', 'dimalaysia', 'liga', 'tani', 'di', 'konoha', 'liga', 'apa']",1,2026-06-12,0
@Alghani-l9w,2026-06-12 14:16:51+00:00,Gilakk last game kek lawan echo dulu🔥,7,YouTube,gilakk last game kek lawan echo dulu,"['gilakk', 'last', 'game', 'kek', 'lawan', 'echo', 'dulu']",0,2026-06-12,0
@DHS-129,2026-06-12 14:16:16+00:00,Gila di tinggal dikit menang emg onic the best dibantai 0-3😌,1,YouTube,gila di tinggal dikit menang emg onic the best dibantai,"['gila', 'di', 'tinggal', 'dikit', 'menang', 'emg', 'onic', 'the', 'best', 'dibantai']",1,2026-06-12,0
@Danxx12,2026-06-12 14:14:32+00:00,Ppq sedang menagis,1,YouTube,ppq sedang menagis,"['ppq', 'sedang', 'menagis']",1,2026-06-12,-1
@RifqiWafi88,2026-06-12 14:14:03+00:00,"Team liquid cabut aja dari divisi mlbb gak ada yg bener mainnya, itu klub terkenal berprestasi di dunia masa kalah sama di liga lokalan bikin malu aja cabut aja tuh dari divisi mlbb balik aja namanya jadi aura sama echo. Team liquid masuk mlbb karena nyari untung aja dari viewers atau supporter prestasi gak ada. Cabang ID mending balik aja jadi aura kalau PH terserah mau TLPH atau Echo",0,YouTube,team liquid cabut aja dari divisi mlbb tidak ada yang bener mainnya itu klub terkenal berprestasi di dunia masa kalah sama di liga lokalan bikin malu aja cabut aja tuh dari divisi mlbb balik aja namanya jadi aura sama echo team liquid masuk mlbb karena nyari untung aja dari viewers atau supporter prestasi tidak ada cabang id mending balik aja jadi aura kalau ph terserah mau tlph atau echo,"['team', 'liquid', 'cabut', 'aja', 'dari', 'divisi', 'mlbb', 'tidak', 'ada', 'yang', 'bener', 'mainnya', 'itu', 'klub', 'terkenal', 'berprestasi', 'di', 'dunia', 'masa', 'kalah', 'sama', 'di', 'liga', 'lokalan', 'bikin', 'malu', 'aja', 'cabut', 'aja', 'tuh', 'dari', 'divisi', 'mlbb', 'balik', 'aja', 'namanya', 'jadi', 'aura', 'sama', 'echo', 'team', 'liquid', 'masuk', 'mlbb', 'karena', 'nyari', 'untung', 'aja', 'dari', 'viewers', 'atau', 'supporter', 'prestasi', 'tidak', 'ada', 'cabang', 'id', 'mending', 'balik', 'aja', 'jadi', 'aura', 'kalau', 'ph', 'terserah', 'mau', 'tlph', 'atau', 'echo']",1,2026-06-12,0
@Konstantinopel-he8vt,2026-06-12 14:13:56+00:00,Giliran lawan tim PH pasti kalah wkwkwk,1,YouTube,giliran lawan tim ph pasti kalah wkwkwk,"['giliran', 'lawan', 'tim', 'ph', 'pasti', 'kalah', 'wkwkwk']",0,2026-06-12,0
@Someone_17.08,2026-06-12 14:13:37+00:00,"KOAR KOAR LAGI LU PADA HATERS ONIC, NUNGGUIN ONIC KALAH? MIMPI BASAH AWKWKWK😹",20,YouTube,koar koar lagi kamu pada haters onic nungguin onic kalah mimpi basah awkwkwk,"['koar', 'koar', 'lagi', 'kamu', 'pada', 'haters', 'onic', 'nungguin', 'onic', 'kalah', 'mimpi', 'basah', 'awkwkwk']",1,2026-06-12,0
@Konstantinopel-he8vt,2026-06-12 14:12:44+00:00,MPL sekarang kurang menarik terlihat monoton yg di dominasi onic yg juara tim itu saja,8,YouTube,mpl sekarang kurang menarik terlihat monoton yang di dominasi onic yang juara tim itu saja,"['mpl', 'sekarang', 'kurang', 'menarik', 'terlihat', 'monoton', 'yang', 'di', 'dominasi', 'onic', 'yang', 'juara', 'tim', 'itu', 'saja']",1,2026-06-12,0
@rizkyaja8672,2026-06-12 14:12:01+00:00,🎉,0,YouTube,,[],0,2026-06-12,1
@blancosblancos-ud2wq,2026-06-12 14:11:35+00:00,"YANG MENANG ONIC, YANG KALAH GEEKFAM,,, YANG KEJANG2,NGAMUK2 KEK ODGJ MALAH FANS PPQ KONDOGGGGG😝😜😆",32,YouTube,yang menang onic yang kalah geekfam yang kejang ngamuk kek odgj malah fans ppq kondoggggg,"['yang', 'menang', 'onic', 'yang', 'kalah', 'geekfam', 'yang', 'kejang', 'ngamuk', 'kek', 'odgj', 'malah', 'fans', 'ppq', 'kondoggggg']",1,2026-06-12,0
@SKIZYEPEP,2026-06-12 14:10:51+00:00,Fans gek menangis di pojokan,1,YouTube,fans gek menangis di pojokan,"['fans', 'gek', 'menangis', 'di', 'pojokan']",0,2026-06-12,0
@MAS_RUSDI_48,2026-06-12 14:10:28+00:00,Kacian woi haters onic nunggu onic kalah sampe lumutan wkwkwk😹,111,YouTube,kacian woi haters onic nunggu onic kalah sampe lumutan wkwkwk,"['kacian', 'woi', 'haters', 'onic', 'nunggu', 'onic', 'kalah', 'sampe', 'lumutan', 'wkwkwk']",0,2026-06-12,0
@ZahidNgelag-v7k1e,2026-06-12 14:09:46+00:00,6:38:49 SAVEROOO,14,YouTube,saverooo,['saverooo'],0,2026-06-12,0
@IMM_X_KYUTIEGAMING,2026-06-12 14:09:27+00:00,Geek kacung,0,YouTube,geek kacung,"['geek', 'kacung']",0,2026-06-12,0
@SKIZYEPEP,2026-06-12 14:09:24+00:00,its Ooniiic time,12,YouTube,its ooniiic time,"['its', 'ooniiic', 'time']",0,2026-06-12,0
@sukismadi5422,2026-06-12 14:08:06+00:00,KONDOM NANGIS🤣🤣🤡🤡🤡🐔PPQ BOT MPL👎,0,YouTube,kondom nangisppq bot mpl,"['kondom', 'nangisppq', 'bot', 'mpl']",1,2026-06-12,0
@Howardaura,2026-06-12 14:07:59+00:00,GEEK VS BTR,0,YouTube,geek vs btr,"['geek', 'vs', 'btr']",0,2026-06-12,-1
@ARIMUX,2026-06-12 14:07:54+00:00,"IT'S ONIC TIME, IT'S MSC TIME",3,YouTube,it s onic time it s msc time,"['it', 's', 'onic', 'time', 'it', 's', 'msc', 'time']",0,2026-06-12,0
@vconksonbravy,2026-06-12 14:07:29+00:00,ppq ga main berisik mulu,29,YouTube,ppq tidak main berisik mulu,"['ppq', 'tidak', 'main', 'berisik', 'mulu']",1,2026-06-12,-1
@alasioss,2026-06-12 14:07:25+00:00,"Gg onic, btw pertama wkwk",1,YouTube,gg onic btw pertama wkwk,"['gg', 'onic', 'btw', 'pertama', 'wkwk']",0,2026-06-12,3
@alieghifary3556,2026-06-23 01:15:21+00:00,"2:49:30
 Itu cewe namanya siapa guys ? 
Pliiss yang tau bantuin jawab",0,YouTube,itu cewe namanya siapa guys pliiss yang tau bantuin jawab,"['itu', 'cewe', 'namanya', 'siapa', 'guys', 'pliiss', 'yang', 'tau', 'bantuin', 'jawab']",1,2026-06-23,0
@LorenRivers-n2e,2026-06-17 16:58:21+00:00,"Loved this video, keep up the great work!",0,YouTube,loved this video keep up the great work,"['loved', 'this', 'video', 'keep', 'up', 'the', 'great', 'work']",0,2026-06-17,-1
@ayomi_ayomz,2026-06-16 03:06:10+00:00,8:49:50 kesini cuma mau liat video  dapon komen pinggir jurang 😂😂😂😂,0,YouTube,kesini cuma mau liat video dapon komen pinggir jurang,"['kesini', 'cuma', 'mau', 'liat', 'video', 'dapon', 'komen', 'pinggir', 'jurang']",1,2026-06-16,-1
@TouchMe22,2026-06-15 09:00:02+00:00,"8:49:50 wadaw pinggir jurang, panik gak panik ga😂",1,YouTube,wadaw pinggir jurang panik tidak panik tidak,"['wadaw', 'pinggir', 'jurang', 'panik', 'tidak', 'panik', 'tidak']",1,2026-06-15,0
@massdang,2026-06-14 01:48:39+00:00,Kesini cuma mau liat dapon dengan joks bapak bapak nya haha😂,0,YouTube,kesini cuma mau liat dapon dengan joks bapak bapak nya haha,"['kesini', 'cuma', 'mau', 'liat', 'dapon', 'dengan', 'joks', 'bapak', 'bapak', 'nya', 'haha']",1,2026-06-14,0
@mfr29tv96,2026-06-13 15:06:19+00:00,8:49:44 papa dapon malah blunder loh ya😂,0,YouTube,papa dapon malah blunder loh ya,"['papa', 'dapon', 'malah', 'blunder', 'loh', 'ya']",0,2026-06-13,0
@repaansyah,2026-06-13 06:47:11+00:00,1:15:20 2:49:20 itu cewe yg pake bando siapa yak namanya?,0,YouTube,itu cewe yang pake bando siapa yak namanya,"['itu', 'cewe', 'yang', 'pake', 'bando', 'siapa', 'yak', 'namanya']",1,2026-06-13,0
@GunturOpm,2026-06-12 04:27:24+00:00,What Melisa jungle,0,YouTube,what melisa jungle,"['what', 'melisa', 'jungle']",0,2026-06-12,0
@nnarev,2026-06-12 01:33:57+00:00,7:34:40 7:34:44 7:34:52 7:34:58 7:35:01 7:35:06 7:35:11 7:35:17 7:35:19 7:35:20 7:35:21 7:35:22 7:35:22 7:35:23 7:35:26 7:35:26 7:35:26 7:35:26 7:35:27 7:35:27 7:35:27 7:35:29 7:35:39 7:35:41 7:35:43 7:35:44 7:35:45 7:35:49 btr 7:36:09,0,YouTube,btr,['btr'],0,2026-06-12,0
@vcux-i,2026-06-11 10:32:02+00:00,Singkat saja karma is real 😂,0,YouTube,singkat saja karma is real,"['singkat', 'saja', 'karma', 'is', 'real']",1,2026-06-11,0
@trieeM,2026-06-11 09:43:03+00:00,menit berapaa min,0,YouTube,menit berapaa min,"['menit', 'berapaa', 'min']",0,2026-06-11,0
@Darent-s5i,2026-06-11 08:20:00+00:00,8:49:51,4,YouTube,,[],0,2026-06-11,1
